Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
1973,Johnny Rep,Right Winger,20,Netherlands,Ajax,Netherlands Eredivisie,34,19,6,25
1974,Franz Beckenbauer,Sweeper,27,Germany,Bayern Munich,Germany Bundesliga,48,5,14,19
1974,Antonello Cuccureddu,Right-Back,23,Italy,Juventus,Italy Serie A,34,16,1,17
1974,Helmut Kremers,Left-Back,24,Germany,FC Schalke 04,Germany Bundesliga,33,13,4,17
1974,Paul Breitner,Left-Back,21,Germany,Bayern Munich,Germany Bundesliga,37,9,4,13
1974,Wim Suurbier,Right-Back,28,Netherlands,Ajax,Netherlands Eredivisie,42,5,8,13
1974,Dieter Bast,Centre-Back,21,Germany,RW Essen,Germany Bundesliga,35,11,1,12
1974,Erwin Hermandung,Centre-Back,28,Germany,Hertha BSC,Germany Bundesliga,40,11,1,12
1974,Dick Schneider,Sweeper,25,Netherlands,Feyenoord,Netherlands Eredivisie,34,9,2,11
1974,Jean-Pierre Adams,Centre-Back,25,France,OGC Nice,France Ligue 1,41,10,0,10
1974,Kenny Burns,Centre-Back,19,Scotland,Birmingham,England First Division (- 91/92),40,10,0,10
1974,Karl-Heinz Struth,Centre-Back,25,Germany,Fortuna Köln,Germany Bundesliga,36,9,1,10
1974,Per Röntved,Centre-Back,24,Denmark,Werder Bremen,Germany Bundesliga,31,7,3,10
1974,Georg Schwarzenbeck,Centre-Back,25,Germany,Bayern Munich,Germany Bundesliga,47,9,0,9
1974,Mick Lyons,Centre-Back,21,England,Everton,England First Division (- 91/92),41,9,0,9
1974,Uwe Kliemann,Centre-Back,24,Germany,E. Frankfurt,Germany Bundesliga,38,5,4,9
1974,Ruud Krol,Left-Back,24,Netherlands,Ajax,Netherlands Eredivisie,42,3,6,9
1974,Horst-Dieter Höttges,Centre-Back,29,Germany,Werder Bremen,Germany Bundesliga,34,8,0,8
1974,Carlos Curbelo,Sweeper,19,France,AS Nancy,France Ligue 1,32,8,0,8
1974,Willi Entenmann,Centre-Back,29,Germany,VfB Stuttgart,Germany Bundesliga,44,7,1,8
1974,Manfred Cremer,Right-Back,26,Germany,Wuppertaler SV,Germany Bundesliga,30,7,1,8
1974,Johan Cruyff,Attacking Midfield,26,Netherlands,Multiple clubs,N/A,28,19,20,39
1974,Lex Schoenmaker,Attacking Midfield,25,Netherlands,Feyenoord,Netherlands Eredivisie,47,30,5,35
1974,Theo de Jong,Central Midfield,25,Netherlands,Feyenoord,Netherlands Eredivisie,53,22,10,32
1974,Willem van Hanegem,Central Midfield,29,Netherlands,Feyenoord,Netherlands Eredivisie,52,17,15,32
1974,Hermann Ohlicher,Attacking Midfield,23,Germany,VfB Stuttgart,Germany Bundesliga,43,26,4,30
1974,Frans Thijssen,Right Midfield,21,Netherlands,FC Twente,Netherlands Eredivisie,42,12,13,25
1974,Bernd Hölzenbein,Attacking Midfield,27,Germany,E. Frankfurt,Germany Bundesliga,38,18,6,24
1974,Marcial Pina,Midfielder,26,Spain,FC Barcelona,Spain LaLiga,41,18,6,24
1974,Johan Neeskens,Central Midfield,21,Netherlands,Ajax,Netherlands Eredivisie,39,15,9,24
1974,Heinz Flohe,Attacking Midfield,25,Germany,1.FC Köln,Germany Bundesliga,43,15,8,23
1974,Hans Ettmayer,Defensive Midfield,26,Austria,VfB Stuttgart,Germany Bundesliga,42,15,7,22
1974,Stan Bowles,Attacking Midfield,24,England,QPR,England First Division (- 91/92),44,19,0,19
1974,Bryan Hamilton,Midfielder,26,Northern Ireland,Ipswich,England First Division (- 91/92),57,19,0,19
1974,Kick van der Vall,Midfielder,27,Netherlands,FC Twente,Netherlands Eredivisie,42,14,5,19
1974,Gerrie Mühren,Left Midfield,27,Netherlands,Ajax,Netherlands Eredivisie,38,14,4,18
1974,Juan Manuel Asensi,Attacking Midfield,23,Spain,FC Barcelona,Spain LaLiga,43,14,4,18
1974,Addie Brouwers,Left Midfield,27,Netherlands,NAC,Netherlands Eredivisie,38,9,9,18
1974,Serge Chiesa,Attacking Midfield,22,France,Olympique Lyon,France Ligue 1,45,17,0,17
1974,Saturnino Arrúa,Attacking Midfield,24,Paraguay,Real Zaragoza,Spain LaLiga,26,17,0,17
1974,Willy van de Kerkhof,Right Midfield,21,Netherlands,PSV Eindhoven,Netherlands Eredivisie,40,10,7,17
1974,Kristen Nygaard,Attacking Midfield,23,Denmark,AZ '67,Netherlands Eredivisie,36,10,7,17
1974,Leen van de Merkt,Midfielder,25,Netherlands,FC Amsterdam,Netherlands Eredivisie,42,9,8,17
1974,Theo Husers,Right Midfield,23,Netherlands,FC Amsterdam,Netherlands Eredivisie,29,13,3,16
1974,Gerd Müller,Centre-Forward,27,Germany,Bayern Munich,Germany Bundesliga,48,43,9,52
1974,Willy van der Kuijlen,Centre-Forward,26,Netherlands,PSV Eindhoven,Netherlands Eredivisie,45,38,14,52
1974,Jörgen Kristensen,Left Winger,26,Denmark,Feyenoord,Netherlands Eredivisie,54,19,31,50
1974,Jupp Heynckes,Centre-Forward,28,Germany,Bor. M'gladbach,Germany Bundesliga,43,40,6,46
1974,Carlos Bianchi,Centre-Forward,24,Argentina,Stade Reims,France Ligue 1,41,38,0,38
1974,Giorgio Chinaglia,Centre-Forward,26,Italy,Lazio,Italy Serie A,42,34,3,37
1974,Peter Ressel,Right Winger,27,Netherlands,Feyenoord,Netherlands Eredivisie,53,19,18,37
1974,Roberto Boninsegna,Centre-Forward,29,Italy,Inter,Italy Serie A,41,33,3,36
1974,Uli Hoeneß,Right Winger,21,Germany,Bayern Munich,Germany Bundesliga,48,25,11,36
1974,Marc Berdoll,Centre-Forward,20,France,Angers SCO,France Ligue 1,43,34,0,34
1974,Nico Jansen,Centre-Forward,20,Netherlands,FC Amsterdam,Netherlands Eredivisie,40,25,9,34
1974,René van de Kerkhof,Right Winger,21,Netherlands,PSV Eindhoven,Netherlands Eredivisie,41,23,11,34
1974,Leo van Veen,Centre-Forward,27,Netherlands,FC Utrecht,Netherlands Eredivisie,37,24,9,33
1974,Harry Lubse,Centre-Forward,21,Netherlands,PSV Eindhoven,Netherlands Eredivisie,42,18,15,33
1974,Nico Braun,Centre-Forward,22,Luxembourg,FC Metz,France Ligue 1,41,30,0,30
1974,Hannes Löhr,Left Winger,30,Germany,1.FC Köln,Germany Bundesliga,41,21,7,28
1974,Kevin Keegan,Centre-Forward,22,England,Liverpool,England First Division (- 91/92),61,19,9,28
1974,Johan Zuidema,Centre-Forward,24,Netherlands,FC Twente,Netherlands Eredivisie,40,18,9,27
1975,Hans Venneker,Right-Back,29,Netherlands,Sparta,Netherlands Eredivisie,36,14,3,17
1975,Gerd Zimmermann,Centre-Back,24,Germany,F. Düsseldorf,Germany Bundesliga,45,13,0,13
1975,Karl-Heinz Körbel,Centre-Back,19,Germany,E. Frankfurt,Germany Bundesliga,43,12,1,13
1975,Bernard Dietz,Left-Back,26,Germany,MSV Duisburg,Germany Bundesliga,46,12,1,13
1975,Dieter Bast,Centre-Back,22,Germany,RW Essen,Germany Bundesliga,37,5,8,13
1975,Dick Schneider,Sweeper,26,Netherlands,Feyenoord,Netherlands Eredivisie,37,9,3,12
1975,Per Röntved,Centre-Back,25,Denmark,Werder Bremen,Germany Bundesliga,26,8,2,10
1975,Helmut Kremers,Left-Back,25,Germany,FC Schalke 04,Germany Bundesliga,30,8,2,10
1975,Kenny Burns,Centre-Back,20,Scotland,Birmingham,England First Division (- 91/92),42,9,0,9
1975,César-Auguste Laraignée,Centre-Back,25,Argentina,Stade Reims,France Ligue 1,41,9,0,9
1975,Arno Wellerdieck,Sweeper,27,Netherlands,Wageningen,Netherlands Eredivisie,37,6,3,9
1975,Johan Dijkstra,Centre-Back,27,Netherlands,MVV Maastricht,Netherlands Eredivisie,35,3,6,9
1975,Gerrit den Butter,Right-Back,30,Netherlands,Excelsior,Netherlands Eredivisie,33,3,6,9
1975,Mick Lyons,Centre-Back,22,England,Everton,England First Division (- 91/92),41,8,0,8
1975,Karl-Heinz Kamp,Left-Back,27,Germany,Werder Bremen,Germany Bundesliga,40,7,1,8
1975,Hans-Jürgen Wittkamp,Sweeper,26,Germany,Bor. M'gladbach,Germany Bundesliga,40,7,1,8
1975,Uwe Kliemann,Centre-Back,25,Germany,Hertha BSC,Germany Bundesliga,37,7,1,8
1975,Beer Wentink,Right-Back,30,Netherlands,Haarlem,Netherlands Eredivisie,36,5,3,8
1975,Giuseppe Sabadini,Right-Back,25,Italy,Milan,Italy Serie A,36,4,4,8
1975,Franz Beckenbauer,Sweeper,28,Germany,Bayern Munich,Germany Bundesliga,43,2,6,8
1975,Willem van Hanegem,Central Midfield,30,Netherlands,Feyenoord,Netherlands Eredivisie,33,13,14,27
1975,Manfred Burgsmüller,Attacking Midfield,24,Germany,RW Essen,Germany Bundesliga,40,23,3,26
1975,Heinz Flohe,Attacking Midfield,26,Germany,1.FC Köln,Germany Bundesliga,39,16,9,25
1975,Bernd Hölzenbein,Attacking Midfield,28,Germany,E. Frankfurt,Germany Bundesliga,42,19,4,23
1975,Bernd Gersdorff,Attacking Midfield,27,Germany,E. Braunschweig,Germany Bundesliga,35,17,5,22
1975,Theo de Jong,Central Midfield,26,Netherlands,Feyenoord,Netherlands Eredivisie,40,13,9,22
1975,Kristen Nygaard,Attacking Midfield,24,Denmark,AZ '67,Netherlands Eredivisie,35,11,11,22
1975,Willy van de Kerkhof,Right Midfield,22,Netherlands,PSV Eindhoven,Netherlands Eredivisie,41,10,11,21
1975,Kick van der Vall,Midfielder,28,Netherlands,FC Twente,Netherlands Eredivisie,49,10,10,20
1975,Bernd Nickel,Attacking Midfield,25,Germany,E. Frankfurt,Germany Bundesliga,45,14,5,19
1975,Paulo César,Attacking Midfield,25,Brazil,Marseille,France Ligue 1,37,18,0,18
1975,Saturnino Arrúa,Attacking Midfield,25,Paraguay,Real Zaragoza,Spain LaLiga,36,18,0,18
1975,Bruce Rioch,Midfielder,26,Scotland,Multiple clubs,N/A,52,17,1,18
1975,Herbert Büssers,Left Midfield,24,Germany,MSV Duisburg,Germany Bundesliga,33,15,3,18
1975,Herbert Neumann,Central Midfield,20,Germany,1.FC Köln,Germany Bundesliga,44,14,4,18
1975,Steve Heighway,Right Midfield,26,Ireland,Liverpool,England First Division (- 91/92),45,13,5,18
1975,René Notten,Midfielder,24,Netherlands,Multiple clubs,N/A,39,7,11,18
1975,Hermann Ohlicher,Attacking Midfield,24,Germany,VfB Stuttgart,Germany Bundesliga,35,17,0,17
1975,Bryan Hamilton,Midfielder,27,Northern Ireland,Ipswich,England First Division (- 91/92),48,17,0,17
1975,Kenny Hibbitt,Midfielder,23,England,Wolves,England First Division (- 91/92),45,17,0,17
1975,Jupp Heynckes,Centre-Forward,29,Germany,Bor. M'gladbach,Germany Bundesliga,43,42,4,46
1975,Willy van der Kuijlen,Centre-Forward,27,Netherlands,PSV Eindhoven,Netherlands Eredivisie,41,36,7,43
1975,Ruud Geels,Centre-Forward,25,Netherlands,Ajax,Netherlands Eredivisie,40,34,9,43
1975,Gerd Müller,Centre-Forward,28,Germany,Bayern Munich,Germany Bundesliga,43,30,13,43
1975,Ralf Edström,Centre-Forward,21,Sweden,PSV Eindhoven,Netherlands Eredivisie,41,22,21,43
1975,Dieter Müller,Centre-Forward,20,Germany,1.FC Köln,Germany Bundesliga,47,36,4,40
1975,Peter Ressel,Right Winger,28,Netherlands,Feyenoord,Netherlands Eredivisie,40,14,21,35
1975,Willi Kreuz,Centre-Forward,25,Austria,Feyenoord,Netherlands Eredivisie,39,25,9,34
1975,Nico Jansen,Centre-Forward,21,Netherlands,FC Amsterdam,Netherlands Eredivisie,41,25,9,34
1975,Allan Simonsen,Second Striker,21,Denmark,Bor. M'gladbach,Germany Bundesliga,48,29,4,33
1975,François M'Pelé,Centre-Forward,26,Congo,Paris SG,France Ligue 1,46,31,0,31
1975,Johan Zuidema,Centre-Forward,25,Netherlands,FC Twente,Netherlands Eredivisie,50,24,6,30
1975,Willi Lippens,Left Winger,28,Netherlands,RW Essen,Germany Bundesliga,40,17,11,28
1975,Malcolm Macdonald,Centre-Forward,24,England,Newcastle,England First Division (- 91/92),50,27,0,27
1975,Jörgen Kristensen,Left Winger,27,Denmark,Feyenoord,Netherlands Eredivisie,38,12,15,27
1975,Hervé Revelli,Centre-Forward,28,France,Saint-Étienne,France Ligue 1,54,26,0,26
1975,Hugo Curioni,Centre-Forward,27,Argentina,Multiple clubs,N/A,44,26,0,26
1975,Nico Braun,Centre-Forward,23,Luxembourg,FC Metz,France Ligue 1,42,25,0,25
1976,Aad Mansveld,Sweeper,30,Netherlands,FC Den Haag,Netherlands Eredivisie,35,15,12,27
1976,Peter Nogly,Centre-Back,28,Germany,Hamburger SV,Germany Bundesliga,52,12,0,12
1976,Josip Katalinski,Sweeper,27,Bosnia-Herzegovina,OGC Nice,France Ligue 1,37,12,0,12
1976,Franz Beckenbauer,Sweeper,29,Germany,Bayern Munich,Germany Bundesliga,54,7,5,12
1976,Dick Schneider,Sweeper,27,Netherlands,Feyenoord,Netherlands Eredivisie,34,7,4,11
1976,Bernard Dietz,Left-Back,27,Germany,MSV Duisburg,Germany Bundesliga,45,10,0,10
1976,Dietmar Sengewald,Defender,21,Germany,Carl Zeiss Jena,Germany DDR-Oberliga,28,10,0,10
1976,Helmut Kremers,Left-Back,26,Germany,FC Schalke 04,Germany Bundesliga,27,9,1,10
1976,Barry Hulshoff,Centre-Back,28,Netherlands,Ajax,Netherlands Eredivisie,39,4,6,10
1976,Ruud Krol,Left-Back,26,Netherlands,Ajax,Netherlands Eredivisie,40,3,7,10
1976,Gerd Zimmermann,Centre-Back,25,Germany,F. Düsseldorf,Germany Bundesliga,39,9,0,9
1976,Phil Neal,Right-Back,24,England,Liverpool,England First Division (- 91/92),59,7,2,9
1976,Wim Temming,Right-Back,20,Netherlands,FC Utrecht,Netherlands Eredivisie,19,5,4,9
1976,Daniel Sanlaville,Centre-Back,27,France,Nîmes Olympique,France Ligue 1,39,8,0,8
1976,Per Röntved,Centre-Back,26,Denmark,Werder Bremen,Germany Bundesliga,32,7,1,8
1976,Hugo Hovenkamp,Left-Back,24,Netherlands,AZ '67,Netherlands Eredivisie,38,5,3,8
1976,Wim Suurbier,Right-Back,30,Netherlands,Ajax,Netherlands Eredivisie,41,2,6,8
1976,Adrie van Kraaij,Sweeper,21,Netherlands,PSV Eindhoven,Netherlands Eredivisie,47,1,7,8
1976,Erich Beer,Attacking Midfield,28,Germany,Hertha BSC,Germany Bundesliga,43,28,3,31
1976,Lex Schoenmaker,Attacking Midfield,27,Netherlands,FC Den Haag,Netherlands Eredivisie,42,22,8,30
1976,Michel Platini,Attacking Midfield,20,France,AS Nancy,France Ligue 1,36,28,0,28
1976,Bernd Hölzenbein,Attacking Midfield,29,Germany,E. Frankfurt,Germany Bundesliga,46,24,1,25
1976,Charlie George,Attacking Midfield,24,England,Derby,England First Division (- 91/92),45,24,0,24
1976,Serge Chiesa,Attacking Midfield,24,France,Olympique Lyon,France Ligue 1,47,24,0,24
1976,Bernd Nickel,Attacking Midfield,26,Germany,E. Frankfurt,Germany Bundesliga,45,19,2,21
1976,Theo de Jong,Central Midfield,27,Netherlands,Feyenoord,Netherlands Eredivisie,33,15,5,20
1976,Johan Neeskens,Central Midfield,23,Netherlands,Barcelona,Spain LaLiga,41,18,0,18
1976,Bernd Gersdorff,Attacking Midfield,28,Germany,E. Braunschweig,Germany Bundesliga,34,17,1,18
1976,Bruce Rioch,Midfielder,27,Scotland,Derby,England First Division (- 91/92),48,17,1,18
1976,Dick Schoenaker,Right Midfield,22,Netherlands,De Graafschap,Netherlands Eredivisie,36,12,5,17
1976,Wim Jansen,Defensive Midfield,28,Netherlands,Feyenoord,Netherlands Eredivisie,38,3,14,17
1976,Gilles Rampillon,Attacking Midfield,21,France,FC Nantes,France Ligue 1,34,16,0,16
1976,Pirri,Defensive Midfield,30,Spain,Real Madrid,Spain LaLiga,40,16,0,16
1976,Manfred Burgsmüller,Attacking Midfield,25,Germany,RW Essen,Germany Bundesliga,31,14,2,16
1976,Jimmy Case,Right Midfield,21,England,Liverpool,England First Division (- 91/92),39,12,4,16
1976,Arnold Mühren,Left Midfield,24,Netherlands,FC Twente,Netherlands Eredivisie,36,11,5,16
1976,Eugène Marijnissen,Right Midfield,20,Netherlands,NEC,Netherlands Eredivisie,35,11,5,16
1976,Ray Kennedy,Left Midfield,23,England,Liverpool,England First Division (- 91/92),43,9,7,16
1976,Romeo Benetti,Central Midfield,29,Italy,Milan,Italy Serie A,45,9,7,16
1976,Willy van de Kerkhof,Right Midfield,23,Netherlands,PSV Eindhoven,Netherlands Eredivisie,45,7,9,16
1976,Willy van der Kuijlen,Centre-Forward,28,Netherlands,PSV Eindhoven,Netherlands Eredivisie,46,41,11,52
1976,Ruud Geels,Centre-Forward,26,Netherlands,Ajax,Netherlands Eredivisie,42,43,8,51
1976,Ralf Edström,Centre-Forward,22,Sweden,PSV Eindhoven,Netherlands Eredivisie,42,24,19,43
1976,John Toshack,Centre-Forward,26,Wales,Liverpool,England First Division (- 91/92),50,23,20,43
1976,Carlos Bianchi,Centre-Forward,26,Argentina,Stade Reims,France Ligue 1,43,39,0,39
1976,Gerd Müller,Centre-Forward,29,Germany,Bayern Munich,Germany Bundesliga,37,36,1,37
1976,Henk van Leeuwen,Centre-Forward,24,Netherlands,FC Den Haag,Netherlands Eredivisie,39,22,14,36
1976,Klaus Toppmöller,Centre-Forward,23,Germany,1.FC K'lautern,Germany Bundesliga,42,35,0,35
1976,Harry Lubse,Centre-Forward,23,Netherlands,PSV Eindhoven,Netherlands Eredivisie,47,23,12,35
1976,Kevin Keegan,Centre-Forward,24,England,Liverpool,England First Division (- 91/92),57,16,19,35
1976,Klaus Fischer,Centre-Forward,25,Germany,FC Schalke 04,Germany Bundesliga,37,32,0,32
1976,Alan Gowling,Striker,26,England,Newcastle,England First Division (- 91/92),57,30,1,31
1976,Kees Kist,Centre-Forward,22,Netherlands,AZ '67,Netherlands Eredivisie,42,20,11,31
1976,René van de Kerkhof,Right Winger,23,Netherlands,PSV Eindhoven,Netherlands Eredivisie,45,12,18,30
1976,Ted MacDougall,Centre-Forward,28,Scotland,Norwich,England First Division (- 91/92),47,28,1,29
1976,Hugo Curioni,Centre-Forward,28,Argentina,FC Metz,France Ligue 1,45,28,0,28
1976,Nico Jansen,Centre-Forward,22,Netherlands,Multiple clubs,N/A,35,23,5,28
1976,Martien Vreijsen,Right Winger,19,Netherlands,Feyenoord,Netherlands Eredivisie,36,19,7,26
1976,Malcolm Macdonald,Centre-Forward,25,England,Newcastle,England First Division (- 91/92),53,24,1,25
1977,Kenny Burns,Centre-Back,22,Scotland,Birmingham,England First Division (- 91/92),37,20,0,20
1977,Dick Schneider,Sweeper,28,Netherlands,Feyenoord,Netherlands Eredivisie,42,12,7,19
1977,Phil Neal,Right-Back,25,England,Liverpool,England First Division (- 91/92),61,13,5,18
1977,Franz Beckenbauer,Sweeper,30,Germany,Bayern Munich,Germany Bundesliga,45,4,9,13
1977,John Gidman,Right-Back,22,England,Aston Villa,England First Division (- 91/92),40,4,8,12
1977,Karl-Heinz Struth,Centre-Back,28,Germany,Karlsruher SC,Germany Bundesliga,32,11,0,11
1977,Aad Mansveld,Sweeper,31,Netherlands,FC Den Haag,Netherlands Eredivisie,34,8,3,11
1977,John Metgod,Sweeper,18,Netherlands,AZ '67,Netherlands Eredivisie,34,5,6,11
1977,Rolf Rüssmann,Centre-Back,25,Germany,FC Schalke 04,Germany Bundesliga,41,10,0,10
1977,Josip Katalinski,Sweeper,28,Bosnia-Herzegovina,OGC Nice,France Ligue 1,44,10,0,10
1977,Chris Nicholl,Centre-Back,29,Northern Ireland,Aston Villa,England First Division (- 91/92),47,6,4,10
1977,Piet Wildschut,Left-Back,18,Netherlands,FC Twente,Netherlands Eredivisie,26,5,5,10
1977,Patrice Rio,Sweeper,27,France,FC Nantes,France Ligue 1,42,9,0,9
1977,Aldo Maldera,Left-Back,22,Italy,Milan,Italy Serie A,43,4,5,9
1977,Gordon McQueen,Centre-Back,24,Scotland,Leeds,England First Division (- 91/92),39,8,0,8
1977,Bernard Dietz,Left-Back,28,Germany,MSV Duisburg,Germany Bundesliga,41,8,0,8
1977,Helmut Kremers,Left-Back,27,Germany,FC Schalke 04,Germany Bundesliga,42,8,0,8
1977,Lothar Huber,Right-Back,24,Germany,Bor. Dortmund,Germany Bundesliga,38,8,0,8
1977,Mick Lyons,Centre-Back,24,England,Everton,England First Division (- 91/92),56,7,1,8
1977,Hugo Hovenkamp,Left-Back,25,Netherlands,AZ '67,Netherlands Eredivisie,35,1,7,8
1977,Bernd Hölzenbein,Attacking Midfield,30,Germany,E. Frankfurt,Germany Bundesliga,35,28,0,28
1977,Michel Platini,Attacking Midfield,21,France,AS Nancy,France Ligue 1,39,25,0,25
1977,Steve Heighway,Right Midfield,28,Ireland,Liverpool,England First Division (- 91/92),58,14,9,23
1977,Theo de Jong,Central Midfield,28,Netherlands,Feyenoord,Netherlands Eredivisie,44,13,10,23
1977,Ignacio Churruca,Midfielder,27,Spain,Athletic,Spain LaLiga,40,17,2,19
1977,Johan Cruyff,Attacking Midfield,29,Netherlands,Barcelona,Spain LaLiga,36,18,0,18
1977,Manfred Burgsmüller,Attacking Midfield,26,Germany,Multiple clubs,N/A,28,17,1,18
1977,Arnold Mühren,Left Midfield,25,Netherlands,FC Twente,Netherlands Eredivisie,33,14,4,18
1977,Kristen Nygaard,Attacking Midfield,26,Denmark,AZ '67,Netherlands Eredivisie,36,14,4,18
1977,Omar Sahnoun,Attacking Midfield,20,France,FC Nantes,France Ligue 1,40,17,0,17
1977,Stan Bowles,Attacking Midfield,27,England,QPR,England First Division (- 91/92),33,16,1,17
1977,Frans Thijssen,Right Midfield,24,Netherlands,FC Twente,Netherlands Eredivisie,38,11,6,17
1977,Dennis Mortimer,Central Midfield,24,England,Aston Villa,England First Division (- 91/92),54,5,12,17
1977,Alain Giresse,Attacking Midfield,23,France,G. Bordeaux,France Ligue 1,41,16,0,16
1977,Ray Kennedy,Left Midfield,24,England,Liverpool,England First Division (- 91/92),61,9,7,16
1977,Hennie Michielsen,Left Midfield,24,Netherlands,Sparta R.,Netherlands Eredivisie,33,7,9,16
1977,Gianni Rivera,Attacking Midfield,32,Italy,Milan,Italy Serie A,39,4,12,16
1977,Bernd Nickel,Attacking Midfield,27,Germany,E. Frankfurt,Germany Bundesliga,39,15,0,15
1977,Pirri,Defensive Midfield,31,Spain,Real Madrid,Spain LaLiga,36,14,1,15
1977,Leighton James,Left Midfield,23,Wales,Derby,England First Division (- 91/92),44,12,3,15
1977,Dieter Müller,Centre-Forward,22,Germany,1.FC Köln,Germany Bundesliga,48,53,0,53
1977,Gerd Müller,Centre-Forward,30,Germany,Bayern Munich,Germany Bundesliga,35,47,3,50
1977,Kevin Keegan,Centre-Forward,25,England,Liverpool,England First Division (- 91/92),57,20,23,43
1977,Brian Little,Centre-Forward,22,England,Aston Villa,England First Division (- 91/92),55,26,16,42
1977,Ruud Geels,Centre-Forward,27,Netherlands,Ajax,Netherlands Eredivisie,37,34,6,40
1977,Carlos Bianchi,Centre-Forward,27,Argentina,Stade Reims,France Ligue 1,44,38,0,38
1977,Willy van der Kuijlen,Centre-Forward,29,Netherlands,PSV Eindhoven,Netherlands Eredivisie,39,27,11,38
1977,Andy Gray,Centre-Forward,20,Scotland,Aston Villa,England First Division (- 91/92),47,29,6,35
1977,Kees Kist,Centre-Forward,23,Netherlands,AZ '67,Netherlands Eredivisie,38,28,7,35
